Product_ID,Product_Category,price$,storeID,supplierID,storeName,supplierName
P00069042,Home & Kitchen,77.51,2,13,Tech Haven,Samsung Electronics
P00248942,Grocery,9.63,6,9,Photo World,Canon Inc.
P00087842,Pets,31.66,4,18,Game Zone,Razer Inc.
P00085442,Pets,23.32,1,16,Electro Mart,Sony Corporation
P00285442,Toys,34.71,3,39,Sound Zone,Sonos Inc.
P00193542,Grocery,33.18,2,13,Tech Haven,Samsung Electronics
P00184942,Grocery,66.86,3,39,Sound Zone,Sonos Inc.
P00346142,Grocery,29.35,4,18,Game Zone,Razer Inc.
P0097242,Grocery,37.35,6,9,Photo World,Canon Inc.
P00274942,Toys,40.71,4,18,Game Zone,Razer Inc.
P00251242,Health & Beauty,54.15,5,18,InnoTech,Razer Inc.
P00014542,Toys,65.81,4,18,Game Zone,Razer Inc.
P00031342,Toys,65.28,3,39,Sound Zone,Sonos Inc.
P00145042,Grocery,17.34,6,9,Photo World,Canon Inc.
P00231342,Health & Beauty,71.01,2,13,Tech Haven,Samsung Electronics
P00190242,Clothing,20.35,4,18,Game Zone,Razer Inc.
P0096642,Electronics,25.08,2,13,Tech Haven,Samsung Electronics
P00058442,Health & Beauty,69.95,7,17,Health Zone,Garmin Ltd.
P00036842,Grocery,8.98,2,13,Tech Haven,Samsung Electronics
P00249542,Grocery,73.13,7,17,Health Zone,Garmin Ltd.
P00220442,Health & Beauty,72.12,1,16,Electro Mart,Sony Corporation
P00156442,Toys,30.07,6,9,Photo World,Canon Inc.
P00213742,Toys,78.76,3,39,Sound Zone,Sonos Inc.
P00214442,Toys,15.31,3,39,Sound Zone,Sonos Inc.
P00303442,Grocery,39.73,5,18,InnoTech,Razer Inc.
P00135742,Household Essentials,54.45,3,39,Sound Zone,Sonos Inc.
P00039942,Toys,56.84,2,13,Tech Haven,Samsung Electronics
P00161442,Health & Beauty,51.92,5,18,InnoTech,Razer Inc.
P00078742,Health & Beauty,76.89,3,39,Sound Zone,Sonos Inc.
P00085942,Electronics,58,1,16,Electro Mart,Sony Corporation
P00118742,Health & Beauty,50.73,4,18,Game Zone,Razer Inc.
P00297942,Toys,7.21,5,18,InnoTech,Razer Inc.
P00266842,Health & Beauty,56.26,3,39,Sound Zone,Sonos Inc.
P00058342,Home & Kitchen,69.13,1,16,Electro Mart,Sony Corporation
P00032442,Health & Beauty,52.14,4,18,Game Zone,Razer Inc.
P00105942,Health & Beauty,16.68,1,16,Electro Mart,Sony Corporation
P00182642,Electronics,18.36,3,39,Sound Zone,Sonos Inc.
P00186942,Health & Beauty,54.81,3,39,Sound Zone,Sonos Inc.
P00155442,Grocery,32.98,2,13,Tech Haven,Samsung Electronics
P00221342,Grocery,30.85,51,51,Pakistan,Pakistan
P00087242,Appliances,28.32,4,18,Game Zone,Razer Inc.
P00111142,Grocery,36.45,6,9,Photo World,Canon Inc.
P00259342,Health & Beauty,2.74,5,18,InnoTech,Razer Inc.
P0094542,Electronics,17.63,7,17,Health Zone,Garmin Ltd.
P00148642,Household Essentials,20.65,5,18,InnoTech,Razer Inc.
P00312142,Toys,23.68,5,18,InnoTech,Razer Inc.
P00113242,Grocery,45.37,3,39,Sound Zone,Sonos Inc.
P00192642,Toys,33.79,3,39,Sound Zone,Sonos Inc.
P00110842,Grocery,71.86,4,18,Game Zone,Razer Inc.
P00189642,Toys,76.82,1,16,Electro Mart,Sony Corporation
P00304242,Grocery,71.74,4,18,Game Zone,Razer Inc.
P00365242,Health & Beauty,2.14,7,17,Health Zone,Garmin Ltd.
P00129542,Toys,27.11,2,13,Tech Haven,Samsung Electronics
P00140742,Grocery,30.79,4,18,Game Zone,Razer Inc.
P00182342,Grocery,60.65,6,9,Photo World,Canon Inc.
